Vivado Simulator 2019.2
Time resolution is 1 ps
answer is :0010011100010000, expect:0000000000000000
answer is :0100011000101000, expect:1000011010100000
answer is :0100011000101001, expect:1011000110011001
answer is :0100011000110010, expect:1011000110100010
answer is :0100011000110011, expect:1011000110100011
answer is :0100011010001100, expect:1011000111111100
answer is :0100011010001101, expect:1011000111111101
answer is :0100011010010110, expect:1011001000000110
answer is :0100011010010111, expect:1011001000000111
answer is :0110100101010000, expect:0100001001000000
answer is :0110100101010001, expect:1000011010100000
answer is :0110100101011010, expect:0100001001001010
answer is :0110100101011011, expect:0100001001001011
answer is :0110100110110100, expect:0100001010100100
answer is :0110100110110101, expect:0100001010100101
answer is :0110100110111110, expect:0100001010101110
answer is :0110100110111111, expect:0100001010101111
answer is :0110110100111000, expect:0100011000101000
answer is :0110110100111001, expect:0100011000101001
answer is :0110110101000010, expect:0100011000110010
answer is :0110110101000011, expect:0100011000110011
answer is :0110110110011100, expect:0100011010001100
answer is :0110110110011101, expect:0100011010001101
answer is :1100110100110110, expect:0100011010010111
answer is :1100110100110111, expect:0110100101010000
answer is :1110111111110000, expect:0110100101010001
answer is :1110111111110001, expect:0110100101011010
answer is :1110111111111010, expect:0110100101011011
answer is :1110111111111011, expect:0110100110110100
answer is :1111000001010100, expect:0110100110110101
answer is :1111000001010101, expect:0110100110111110
answer is :1111000001011110, expect:0110100110111111
answer is :1111000001011111, expect:0110110100111000
answer is :1111001111011000, expect:0110110100111001
answer is :1111001111011001, expect:0110110101000010
answer is :1111001111100010, expect:0100011010001101
answer is :1100000110000011, expect:0110110110100110
answer is :1100000111011100, expect:0110110110100111
answer is :1100000111011101, expect:0100011010001101
answer is :1100000111100110, expect:0100011010001101
answer is :1100000111100111, expect:0100011010001101
answer is :0001110100100000, expect:0100011010001101
answer is :0001110100100001, expect:0100011010001101
answer is :0001110100101010, expect:0100011010001101
answer is :0001110100101011, expect:0100011010001101
answer is :0001110110000100, expect:0100011010001101
answer is :0001110110000101, expect:0100011010001101
answer is :0001110110001110, expect:0100011010001101
answer is :0001110110001111, expect:0100011010001101
answer is :0010000100001000, expect:0100011010001101
answer is :0010000100001001, expect:0100011010001101
answer is :0010000100010010, expect:0100011010001101
answer is :0010000100010011, expect:0100011010001101
answer is :0010000101101100, expect:0100011010001101
answer is :0010000101101101, expect:0100011010001101
answer is :0010000101110110, expect:0100011010001101
answer is :0010000101110111, expect:0100011010001101
answer is :0100010000110000, expect:0100011010001101
answer is :0100010000110001, expect:0100011010001101
answer is :0100010000111010, expect:0100011010001101
answer is :0100010000111011, expect:0100011010001101
answer is :0100010010010100, expect:0100011010001101
answer is :0100010010010101, expect:0100011010001101
answer is :0100010010011110, expect:0100011010001101
answer is :0100010010011111, expect:0100011010001101
answer is :0100100000011000, expect:0100011010001101
answer is :0100100000011001, expect:0100011010001101
answer is :0100100000100010, expect:0100011010001101
answer is :0100100000100011, expect:0100011010001101
answer is :0100100001111100, expect:0100011010001101
answer is :0100100001111101, expect:0100011010001101
answer is :0100100010000110, expect:0100011010001101
answer is :0100100010000111, expect:0100011010001101
answer is :1101100011000000, expect:0100011010001101
answer is :1101100011000001, expect:0100011010001101
answer is :1101100011001010, expect:0100011010001101
answer is :1101100011001011, expect:0100011010001101
answer is :1101100100100100, expect:0100011010001101
answer is :1101100100100101, expect:0100011010001101
answer is :1101100100101110, expect:0100011010001101
answer is :1101100100101111, expect:0100011010001101
answer is :1101110010101000, expect:0100011010001101
answer is :1101110010101001, expect:0100011010001101
answer is :1101110010110010, expect:0100011010001101
answer is :1101110010110011, expect:0100011010001101
answer is :1101110100001100, expect:0100011010001101
answer is :1101110100001101, expect:0100011010001101
answer is :1101110100010110, expect:0100011010001101
answer is :1101110100010111, expect:0100011010001101
answer is :1111111111010000, expect:0100011010001101
answer is :1111111111010001, expect:0100011010001101
answer is :1111111111011010, expect:0100011010001101
answer is :1111111111011011, expect:0100011010001101
answer is :0000000000110100, expect:0100011010001101
answer is :0000000000110101, expect:0100011010001101
answer is :0000000000111110, expect:0100011010001101
answer is :0000000000111111, expect:0100011010001101
answer is :0000001110111000, expect:0100011010001101
answer is :0000001110111001, expect:0100011010001101
answer is :0000001111000010, expect:0100011010001101
answer is :0000001111000011, expect:0100011010001101
answer is :0000010000011100, expect:0100011010001101
answer is :0000010000011101, expect:0100011010001101
answer is :0000010000100110, expect:0100011010001101
answer is :0000010000100111, expect:0100011010001101
answer is :0101111101100000, expect:0100011010001101
answer is :0101111101100001, expect:0100011010001101
answer is :0101111101101010, expect:0100011010001101
answer is :0101111101101011, expect:0100011010001101
answer is :0101111111000100, expect:0100011010001101
answer is :0101111111000101, expect:0100011010001101
answer is :0101111111001110, expect:0100011010001101
answer is :0101111111001111, expect:0100011010001101
answer is :0110001101001000, expect:0100011010001101
answer is :0110001101001001, expect:0100011010001101
answer is :0110001101010010, expect:0100011010001101
answer is :0110001101010011, expect:0100011010001101
answer is :0110001110101100, expect:0100011010001101
answer is :0110001110101101, expect:0100011010001101
answer is :0110001110110110, expect:0100011010001101
answer is :0110001110110111, expect:0100011010001101
answer is :1000011001110000, expect:0100011010001101
answer is :1000011001110001, expect:0100011010001101
answer is :1000011001111010, expect:0100011010001101
answer is :1000011001111011, expect:0100011010001101
answer is :1000011011010100, expect:0100011010001101
answer is :1000011011010101, expect:0100011010001101
answer is :1000011011011110, expect:0100011010001101
answer is :1000011011011111, expect:0100011010001101
answer is :1000101001011000, expect:0100011010001101
answer is :1000101001011001, expect:0100011010001101
answer is :1000101001100010, expect:0100011010001101
answer is :1000101001100011, expect:0100011010001101
answer is :1000101010111100, expect:0100011010001101
answer is :1000101010111101, expect:0100011010001101
answer is :1000101011000110, expect:0100011010001101
answer is :1000101011000111, expect:0100011010001101
answer is :1110000100000000, expect:0100011010001101
answer is :1110000100000001, expect:0100011010001101
answer is :1110000100001010, expect:0100011010001101
answer is :1110000100001011, expect:0100011010001101
answer is :1110000101100100, expect:0100011010001101
answer is :1110000101100101, expect:0100011010001101
answer is :1110000101101110, expect:0100011010001101
answer is :1110000101101111, expect:0100011010001101
answer is :1110010011101000, expect:0100011010001101
answer is :1110010011101001, expect:0100011010001101
answer is :1110010011110010, expect:0100011010001101
answer is :1110010011110011, expect:0100011010001101
answer is :1110010101001100, expect:0100011010001101
answer is :1110010101001101, expect:0100011010001101
answer is :1110010101010110, expect:0100011010001101
answer is :1110010101010111, expect:0100011010001101
answer is :0000100000010000, expect:0100011010001101
answer is :0000100000010001, expect:0100011010001101
answer is :0000100000011010, expect:0100011010001101
answer is :0000100000011011, expect:0100011010001101
answer is :0000100001110100, expect:0100011010001101
answer is :0000100001110101, expect:0100011010001101
answer is :0000100001111110, expect:0100011010001101
answer is :0000100001111111, expect:0100011010001101
answer is :0000101111111000, expect:0100011010001101
answer is :0000101111111001, expect:0100011010001101
answer is :0000110000000010, expect:0100011010001101
answer is :0000110000000011, expect:0100011010001101
answer is :0000110001011100, expect:0100011010001101
answer is :0000110001011101, expect:0100011010001101
answer is :0000110001100110, expect:0100011010001101
answer is :0000110001100111, expect:0100011010001101
answer is :0110011110100000, expect:0100011010001101
answer is :0110011110100001, expect:0100011010001101
answer is :0110011110101010, expect:0100011010001101
answer is :0110011110101011, expect:0100011010001101
answer is :0110100000000100, expect:0100011010001101
answer is :0110100000000101, expect:0100011010001101
answer is :0110100000001110, expect:0100011010001101
answer is :0110100000001111, expect:0100011010001101
answer is :0110101110001000, expect:0100011010001101
answer is :0110101110001001, expect:0100011010001101
answer is :0110101110010010, expect:0100011010001101
answer is :0110101110010011, expect:0100011010001101
answer is :0110101111101100, expect:0100011010001101
answer is :0110101111101101, expect:0100011010001101
answer is :0110101111110110, expect:0100011010001101
answer is :0110101111110111, expect:0100011010001101
answer is :1000111010110000, expect:0100011010001101
answer is :1000111010110001, expect:0100011010001101
answer is :1000111010111010, expect:0100011010001101
answer is :1000111010111011, expect:0100011010001101
answer is :1000111100010100, expect:0100011010001101
answer is :1000111100010101, expect:0100011010001101
answer is :1000111100011110, expect:0100011010001101
answer is :1000111100011111, expect:0100011010001101
answer is :1001001010011000, expect:0100011010001101
answer is :1001001010011001, expect:0100011010001101
answer is :1001001010100010, expect:0100011010001101
answer is :1001001010100011, expect:0100011010001101
answer is :1001001011111100, expect:0100011010001101
answer is :1001001011111101, expect:0100011010001101
answer is :1001001100000110, expect:0100011010001101
answer is :1001001100000111, expect:0100011010001101
answer is :0010001101000000, expect:0100011010001101
answer is :0010001101000001, expect:0100011010001101
answer is :0010001101001010, expect:0100011010001101
answer is :0010001101001011, expect:0100011010001101
answer is :0010001110100100, expect:0100011010001101
answer is :0010001110100101, expect:0100011010001101
answer is :0010001110101110, expect:0100011010001101
answer is :0010001110101111, expect:0100011010001101
answer is :0010011100101000, expect:0100011010001101
answer is :0010011100101001, expect:0100011010001101
answer is :0010011100110010, expect:0100011010001101
answer is :0010011100110011, expect:0100011010001101
answer is :0010011110001100, expect:0100011010001101
answer is :0010011110001101, expect:0100011010001101
answer is :0010011110010110, expect:0100011010001101
answer is :0010011110010111, expect:0100011010001101
answer is :0100101001010000, expect:0100011010001101
answer is :0100101001010001, expect:0100011010001101
answer is :0100101001011010, expect:0100011010001101
answer is :0100101001011011, expect:0100011010001101
answer is :0100101010110100, expect:0100011010001101
answer is :0100101010110101, expect:0100011010001101
answer is :0100101010111110, expect:0100011010001101
answer is :0100101010111111, expect:0100011010001101
answer is :0100111000111000, expect:0100011010001101
answer is :0100111000111001, expect:0100011010001101
answer is :0100111001000010, expect:0100011010001101
answer is :0100111001000011, expect:0100011010001101
answer is :0100111010011100, expect:0100011010001101
answer is :0100111010011101, expect:0100011010001101
answer is :0100111010100110, expect:0100011010001101
answer is :0100111010100111, expect:0100011010001101
answer is :1010100111100000, expect:0100011010001101
answer is :1010100111100001, expect:0100011010001101
answer is :1010100111101010, expect:0100011010001101
answer is :1010100111101011, expect:0100011010001101
answer is :1010101001000100, expect:0100011010001101
answer is :1010101001000101, expect:0100011010001101
answer is :1010101001001110, expect:0100011010001101
answer is :1010101001001111, expect:0100011010001101
answer is :1010110111001000, expect:0100011010001101
answer is :1010110111001001, expect:0100011010001101
answer is :1010110111010010, expect:0100011010001101
answer is :1010110111010011, expect:0100011010001101
answer is :1010111000101100, expect:0100011010001101
answer is :1010111000101101, expect:0100011010001101
answer is :1010111000110110, expect:0100011010001101
answer is :1010111000110111, expect:0100011010001101
answer is :1101000011110000, expect:0100011010001101
answer is :1101000011110001, expect:0100011010001101
answer is :1101000011111010, expect:0100011010001101
answer is :1101000011111011, expect:0100011010001101
answer is :1101000101010100, expect:0100011010001101
answer is :1101000101010101, expect:0100011010001101
answer is :1101000101011110, expect:0100011010001101
answer is :1101000101011111, expect:0100011010001101
answer is :1101010011011000, expect:0100011010001101
answer is :1101010011011001, expect:0100011010001101
answer is :1101010011100010, expect:0100011010001101
answer is :1101010011100011, expect:0100011010001101
answer is :1101010100111100, expect:0100011010001101
answer is :1101010100111101, expect:0100011010001101
answer is :1101010101000110, expect:0100011010001101
answer is :1101010101000111, expect:0100011010001101
answer is :0111011110000000, expect:0100011010001101
answer is :0111011110000001, expect:0100011010001101
answer is :0111011110001010, expect:0100011010001101
answer is :0111011110001011, expect:0100011010001101
answer is :0111011111100100, expect:0100011010001101
answer is :0111011111100101, expect:0100011010001101
answer is :0111011111101110, expect:0100011010001101
answer is :0111011111101111, expect:0100011010001101
answer is :0111101101101000, expect:0100011010001101
answer is :0111101101101001, expect:0100011010001101
answer is :0111101101110010, expect:0100011010001101
answer is :0111101101110011, expect:0100011010001101
answer is :0111101111001100, expect:0100011010001101
answer is :0111101111001101, expect:0100011010001101
answer is :0111101111010110, expect:0100011010001101
answer is :0111101111010111, expect:0100011010001101
answer is :1001111010010000, expect:0100011010001101
answer is :1001111010010001, expect:0100011010001101
answer is :1001111010011010, expect:0100011010001101
answer is :1001111010011011, expect:0100011010001101
answer is :1001111011110100, expect:0100011010001101
answer is :1001111011110101, expect:0100011010001101
answer is :1001111011111110, expect:0100011010001101
answer is :1001111011111111, expect:0100011010001101
answer is :1010001001111000, expect:0100011010001101
answer is :1010001001111001, expect:0100011010001101
answer is :1010001010000010, expect:0100011010001101
answer is :1010001010000011, expect:0100011010001101
answer is :1010001011011100, expect:0100011010001101
answer is :1010001011011101, expect:0100011010001101
answer is :1010001011100110, expect:0100011010001101
answer is :1010001011100111, expect:0100011010001101
answer is :1111111000100000, expect:0100011010001101
answer is :1111111000100001, expect:0100011010001101
answer is :1111111000101010, expect:0100011010001101
answer is :1111111000101011, expect:0100011010001101
answer is :1111111010000100, expect:0100011010001101
answer is :1111111010000101, expect:0100011010001101
answer is :1111111010001110, expect:0100011010001101
answer is :1111111010001111, expect:0100011010001101
answer is :0000001000001000, expect:0100011010001101
answer is :0000001000001001, expect:0100011010001101
answer is :0000001000010010, expect:0100011010001101
answer is :0000001000010011, expect:0100011010001101
answer is :0000001001101100, expect:0100011010001101
answer is :0000001001101101, expect:0100011010001101
answer is :0000001001110110, expect:0100011010001101
answer is :0000001001110111, expect:0100011010001101
answer is :0010010100110000, expect:0100011010001101
answer is :0010010100110001, expect:0100011010001101
answer is :0010010100111010, expect:0100011010001101
answer is :0010010100111011, expect:0100011010001101
answer is :0010010110010100, expect:0100011010001101
answer is :0010010110010101, expect:0100011010001101
answer is :0010010110011110, expect:0100011010001101
answer is :0010010110011111, expect:0100011010001101
answer is :0010100100011000, expect:0100011010001101
answer is :0010100100011001, expect:0100011010001101
answer is :0010100100100010, expect:0100011010001101
answer is :0010100100100011, expect:0100011010001101
answer is :0010100101111100, expect:0100011010001101
answer is :0010100101111101, expect:0100011010001101
answer is :0010100110000110, expect:0100011010001101
answer is :0010100110000111, expect:0100011010001101
answer is :1011100111000000, expect:0100011010001101
answer is :1011100111000001, expect:0100011010001101
answer is :1011100111001010, expect:0100011010001101
answer is :1011100111001011, expect:0100011010001101
answer is :1011101000100100, expect:0100011010001101
answer is :1011101000100101, expect:0100011010001101
answer is :1011101000101110, expect:0100011010001101
answer is :1011101000101111, expect:0100011010001101
answer is :1011110110101000, expect:0100011010001101
answer is :1011110110101001, expect:0100011010001101
answer is :1011110110110010, expect:0100011010001101
answer is :1011110110110011, expect:0100011010001101
answer is :1011111000001100, expect:0100011010001101
answer is :1011111000001101, expect:0100011010001101
answer is :1011111000010110, expect:0100011010001101
answer is :1011111000010111, expect:0100011010001101
answer is :1110000011010000, expect:0100011010001101
answer is :1110000011010001, expect:0100011010001101
answer is :1110000011011010, expect:0100011010001101
answer is :1110000011011011, expect:0100011010001101
answer is :1110000100110100, expect:0100011010001101
answer is :1110000100110101, expect:0100011010001101
answer is :1110000100111110, expect:0100011010001101
answer is :1110000100111111, expect:0100011010001101
answer is :1110010010111000, expect:0100011010001101
answer is :1110010010111001, expect:0100011010001101
answer is :1110010011000010, expect:0100011010001101
answer is :1110010011000011, expect:0100011010001101
answer is :1110010100011100, expect:0100011010001101
answer is :1110010100011101, expect:0100011010001101
answer is :1110010100100110, expect:0100011010001101
answer is :1110010100100111, expect:0100011010001101
answer is :0100000001100000, expect:0100011010001101
answer is :0100000001100001, expect:0100011010001101
answer is :0100000001101010, expect:0100011010001101
answer is :0100000001101011, expect:0100011010001101
answer is :0100000011000100, expect:0100011010001101
answer is :0100000011000101, expect:0100011010001101
answer is :0100000011001110, expect:0100011010001101
answer is :0100000011001111, expect:0100011010001101
answer is :0100010001001000, expect:0100011010001101
answer is :0100010001001001, expect:0100011010001101
answer is :0100010001010010, expect:0100011010001101
answer is :0100010001010011, expect:0100011010001101
answer is :0100010010101100, expect:0100011010001101
answer is :0100010010101101, expect:0100011010001101
answer is :0100010010110110, expect:0100011010001101
answer is :0100010010110111, expect:0100011010001101
answer is :0110011101110000, expect:0100011010001101
answer is :0110011101110001, expect:0100011010001101
answer is :0110011101111010, expect:0100011010001101
answer is :0110011101111011, expect:0100011010001101
answer is :0110011111010100, expect:0100011010001101
answer is :0110011111010101, expect:0100011010001101
answer is :0110011111011110, expect:0100011010001101
answer is :0110011111011111, expect:0100011010001101
answer is :0110101101011000, expect:0100011010001101
answer is :0110101101011001, expect:0100011010001101
answer is :0110101101100010, expect:0100011010001101
answer is :0110101101100011, expect:0100011010001101
answer is :0110101110111100, expect:0100011010001101
answer is :0110101110111101, expect:0100011010001101
answer is :0110101111000110, expect:0100011010001101
answer is :0110101111000111, expect:0100011010001101
answer is :1100101000000000, expect:0100011010001101
answer is :1100101000000001, expect:0100011010001101
answer is :1100101000001010, expect:0100011010001101
answer is :1100101000001011, expect:0100011010001101
answer is :1100101001100100, expect:0100011010001101
answer is :1100101001100101, expect:0100011010001101
answer is :1100101001101110, expect:0100011010001101
answer is :1100101001101111, expect:0100011010001101
answer is :1100110111101000, expect:0100011010001101
answer is :1100110111101001, expect:0100011010001101
answer is :1100110111110010, expect:0100011010001101
answer is :1100110111110011, expect:0100011010001101
answer is :1100111001001100, expect:0100011010001101
answer is :1100111001001101, expect:0100011010001101
answer is :1100111001010110, expect:0100011010001101
answer is :1100111001010111, expect:0100011010001101
answer is :1111000100010000, expect:0100011010001101
answer is :1111000100010001, expect:0100011010001101
answer is :1111000100011010, expect:0100011010001101
answer is :1111000100011011, expect:0100011010001101
answer is :1111000101110100, expect:0100011010001101
answer is :1111000101110101, expect:0100011010001101
answer is :1111000101111110, expect:0100011010001101
answer is :1111000101111111, expect:0100011010001101
answer is :1111010011111000, expect:0100011010001101
answer is :1111010011111001, expect:0100011010001101
answer is :1111010100000010, expect:0100011010001101
answer is :1111010100000011, expect:0100011010001101
answer is :1111010101011100, expect:0100011010001101
answer is :1111010101011101, expect:0100011010001101
answer is :1111010101100110, expect:0100011010001101
answer is :1111010101100111, expect:0100011010001101
answer is :0101000010100000, expect:0100011010001101
answer is :0101000010100001, expect:0100011010001101
answer is :0101000010101010, expect:0100011010001101
answer is :0101000010101011, expect:0100011010001101
answer is :0101000100000100, expect:0100011010001101
answer is :0101000100000101, expect:0100011010001101
answer is :0101000100001110, expect:0100011010001101
answer is :0101000100001111, expect:0100011010001101
answer is :0101010010001000, expect:0100011010001101
answer is :0101010010001001, expect:0100011010001101
answer is :0101010010010010, expect:0100011010001101
answer is :0101010010010011, expect:0100011010001101
answer is :0101010011101100, expect:0100011010001101
answer is :0101010011101101, expect:0100011010001101
answer is :0101010011110110, expect:0100011010001101
answer is :0101010011110111, expect:0100011010001101
answer is :0111011110110000, expect:0100011010001101
answer is :0111011110110001, expect:0100011010001101
answer is :0111011110111010, expect:0100011010001101
answer is :0111011110111011, expect:0100011010001101
answer is :0111100000010100, expect:0100011010001101
answer is :0111100000010101, expect:0100011010001101
answer is :0111100000011110, expect:0100011010001101
answer is :0111100000011111, expect:0100011010001101
answer is :0111101110011000, expect:0100011010001101
answer is :0111101110011001, expect:0100011010001101
answer is :0111101110100010, expect:0100011010001101
answer is :0111101110100011, expect:0100011010001101
answer is :0111101111111100, expect:0100011010001101
answer is :0111101111111101, expect:0100011010001101
answer is :0111110000000110, expect:0100011010001101
answer is :0111110000000111, expect:0100011010001101
answer is :0000110001000000, expect:0100011010001101
answer is :0000110001000001, expect:0100011010001101
answer is :0000110001001010, expect:0100011010001101
answer is :0000110001001011, expect:0100011010001101
answer is :0000110010100100, expect:0100011010001101
answer is :0000110010100101, expect:0100011010001101
answer is :0000110010101110, expect:0100011010001101
answer is :0000110010101111, expect:0100011010001101
answer is :0001000000101000, expect:0100011010001101
answer is :0001000000101001, expect:0100011010001101
answer is :0001000000110010, expect:0100011010001101
answer is :0001000000110011, expect:0100011010001101
answer is :0001000010001100, expect:0100011010001101
answer is :0001000010001101, expect:0100011010001101
answer is :0001000010010110, expect:0100011010001101
answer is :0001000010010111, expect:0100011010001101
answer is :0011001101010000, expect:0100011010001101
answer is :0011001101010001, expect:0100011010001101
answer is :0011001101011010, expect:0100011010001101
answer is :0011001101011011, expect:0100011010001101
answer is :0011001110110100, expect:0100011010001101
answer is :0011001110110101, expect:0100011010001101
answer is :0011001110111110, expect:0100011010001101
answer is :0011001110111111, expect:0100011010001101
answer is :0011011100111000, expect:0100011010001101
answer is :0011011100111001, expect:0100011010001101
answer is :0011011101000010, expect:0100011010001101
answer is :0011011101000011, expect:0100011010001101
answer is :0011011110011100, expect:0100011010001101
answer is :0011011110011101, expect:0100011010001101
answer is :0011011110100110, expect:0100011010001101
answer is :0011011110100111, expect:0100011010001101
answer is :1001001011100000, expect:0100011010001101
answer is :1001001011100001, expect:0100011010001101
answer is :1001001011101010, expect:0100011010001101
answer is :1001001011101011, expect:0100011010001101
answer is :1001001101000100, expect:0100011010001101
answer is :1001001101000101, expect:0100011010001101
answer is :1001001101001110, expect:0100011010001101
answer is :1001001101001111, expect:0100011010001101
answer is :1001011011001000, expect:0100011010001101
answer is :1001011011001001, expect:0100011010001101
answer is :1001011011010010, expect:0100011010001101
answer is :1001011011010011, expect:0100011010001101
answer is :1001011100101100, expect:0100011010001101
answer is :1001011100101101, expect:0100011010001101
answer is :1001011100110110, expect:0100011010001101
answer is :1001011100110111, expect:0100011010001101
answer is :1011100111110000, expect:0100011010001101
answer is :1011100111110001, expect:0100011010001101
answer is :1011100111111010, expect:0100011010001101
answer is :1011100111111011, expect:0100011010001101
answer is :1011101001010100, expect:0100011010001101
answer is :1011101001010101, expect:0100011010001101
answer is :1011101001011110, expect:0100011010001101
answer is :1011101001011111, expect:0100011010001101
answer is :1011110111011000, expect:0100011010001101
answer is :1011110111011001, expect:0100011010001101
answer is :1011110111100010, expect:0100011010001101
answer is :1011110111100011, expect:0100011010001101
answer is :1011111000111100, expect:0100011010001101
answer is :1011111000111101, expect:0100011010001101
answer is :1011111001000110, expect:0100011010001101
answer is :1011111001000111, expect:0100011010001101
answer is :0110000010000000, expect:0100011010001101
answer is :0110000010000001, expect:0100011010001101
answer is :0110000010001010, expect:0100011010001101
answer is :0110000010001011, expect:0100011010001101
answer is :0110000011100100, expect:0100011010001101
answer is :0110000011100101, expect:0100011010001101
answer is :0110000011101110, expect:0100011010001101
answer is :0110000011101111, expect:0100011010001101
answer is :0110010001101000, expect:0100011010001101
answer is :0110010001101001, expect:0100011010001101
answer is :0110010001110010, expect:0100011010001101
answer is :0110010001110011, expect:0100011010001101
answer is :0110010011001100, expect:0100011010001101
answer is :0110010011001101, expect:0100011010001101
answer is :0110010011010110, expect:0100011010001101
answer is :0110010011010111, expect:0100011010001101
answer is :1000011110010000, expect:0100011010001101
answer is :1000011110010001, expect:0100011010001101
answer is :1000011110011010, expect:0100011010001101
answer is :1000011110011011, expect:0100011010001101
answer is :1000011111110100, expect:0100011010001101
answer is :1000011111110101, expect:0100011010001101
answer is :1000011111111110, expect:0100011010001101
answer is :1000011111111111, expect:0100011010001101
answer is :1000101101111000, expect:0100011010001101
answer is :1000101101111001, expect:0100011010001101
answer is :1000101110000010, expect:0100011010001101
answer is :1000101110000011, expect:0100011010001101
answer is :1000101111011100, expect:0100011010001101
answer is :1000101111011101, expect:0100011010001101
answer is :1000101111100110, expect:0100011010001101
answer is :1000101111100111, expect:0100011010001101
answer is :1110011100100000, expect:0100011010001101
answer is :1110011100100001, expect:0100011010001101
answer is :1110011100101010, expect:0100011010001101
answer is :1110011100101011, expect:0100011010001101
answer is :1110011110000100, expect:0100011010001101
answer is :1110011110000101, expect:0100011010001101
answer is :1110011110001110, expect:0100011010001101
answer is :1110011110001111, expect:0100011010001101
answer is :1110101100001000, expect:0100011010001101
answer is :1110101100001001, expect:0100011010001101
answer is :1110101100010010, expect:0100011010001101
answer is :1110101100010011, expect:0100011010001101
answer is :1110101101101100, expect:0100011010001101
answer is :1110101101101101, expect:0100011010001101
answer is :1110101101110110, expect:0100011010001101
answer is :1110101101110111, expect:0100011010001101
answer is :0000111000110000, expect:0100011010001101
answer is :0000111000110001, expect:0100011010001101
answer is :0000111000111010, expect:0100011010001101
answer is :0000111000111011, expect:0100011010001101
answer is :0000111010010100, expect:0100011010001101
answer is :0000111010010101, expect:0100011010001101
answer is :0000111010011110, expect:0100011010001101
answer is :0000111010011111, expect:0100011010001101
answer is :0001001000011000, expect:0100011010001101
answer is :0001001000011001, expect:0100011010001101
answer is :0001001000100010, expect:0100011010001101
answer is :0001001000100011, expect:0100011010001101
answer is :0001001001111100, expect:0100011010001101
answer is :0001001001111101, expect:0100011010001101
answer is :0001001010000110, expect:0100011010001101
answer is :0001001010000111, expect:0100011010001101
answer is :1010001011000000, expect:0100011010001101
answer is :1010001011000001, expect:0100011010001101
answer is :1010001011001010, expect:0100011010001101
answer is :1010001011001011, expect:0100011010001101
answer is :1010001100100100, expect:0100011010001101
answer is :1010001100100101, expect:0100011010001101
answer is :1010001100101110, expect:0100011010001101
answer is :1010001100101111, expect:0100011010001101
answer is :1010011010101000, expect:0100011010001101
answer is :1010011010101001, expect:0100011010001101
answer is :1010011010110010, expect:0100011010001101
answer is :1010011010110011, expect:0100011010001101
answer is :1010011100001100, expect:0100011010001101
answer is :1010011100001101, expect:0100011010001101
answer is :1010011100010110, expect:0100011010001101
answer is :1010011100010111, expect:0100011010001101
answer is :1100100111010000, expect:0100011010001101
answer is :1100100111010001, expect:0100011010001101
answer is :1100100111011010, expect:0100011010001101
answer is :1100100111011011, expect:0100011010001101
answer is :1100101000110100, expect:0100011010001101
answer is :1100101000110101, expect:0100011010001101
answer is :1100101000111110, expect:0100011010001101
